"salary_avg","skill_name"
"208172","pyspark"
"189155","bitbucket"
"160515","watson"
"160515","couchbase"
"155486","datarobot"
"154500","gitlab"
"153750","swift"
"152777","jupyter"
"151821","pandas"
"145000","golang"
"145000","elasticsearch"
"143513","numpy"
"141907","databricks"
"136508","linux"
"132500","kubernetes"
"131162","atlassian"
"127000","twilio"
"126103","airflow"
"125781","scikit-learn"
"125436","jenkins"
"125000","notion"
"124903","scala"
"123879","postgresql"
"122500","gcp"
"121619","microstrategy"
"120100","crystal"
"115320","go"
"114210","confluence"
"114072","db2"
"113193","hadoop"
